Algorithm, Data File, Time Elapsed (ms)
Bubble Sort, .\TestData\IntegerData\AlmostInOrder_10.txt, 0
Bubble Sort, .\TestData\IntegerData\AlmostInOrder_100.txt, 0
Bubble Sort, .\TestData\IntegerData\AlmostInOrder_1000.txt, 5
Bubble Sort, .\TestData\IntegerData\AlmostInOrder_10000.txt, 557
Bubble Sort, .\TestData\IntegerData\AlmostInOrder_100000.txt, 53687
Bubble Sort, .\TestData\IntegerData\InOrder_10.txt, 0
Bubble Sort, .\TestData\IntegerData\InOrder_100.txt, 0
Bubble Sort, .\TestData\IntegerData\InOrder_1000.txt, 5
Bubble Sort, .\TestData\IntegerData\InOrder_10000.txt, 518
Bubble Sort, .\TestData\IntegerData\InOrder_100000.txt, 51639
Bubble Sort, .\TestData\IntegerData\RandomOrder_10.txt, 0
Bubble Sort, .\TestData\IntegerData\RandomOrder_100.txt, 0
Bubble Sort, .\TestData\IntegerData\RandomOrder_1000.txt, 5
Bubble Sort, .\TestData\IntegerData\RandomOrder_10000.txt, 552
Bubble Sort, .\TestData\IntegerData\RandomOrder_100000.txt, 56420
Bubble Sort, .\TestData\IntegerData\ReverseOrder_10.txt, 0
Bubble Sort, .\TestData\IntegerData\ReverseOrder_100.txt, 0
Bubble Sort, .\TestData\IntegerData\ReverseOrder_1000.txt, 5
Bubble Sort, .\TestData\IntegerData\ReverseOrder_10000.txt, 587
Bubble Sort, .\TestData\IntegerData\ReverseOrder_100000.txt, 56250
Merge Sort, .\TestData\IntegerData\AlmostInOrder_10.txt, 0
Merge Sort, .\TestData\IntegerData\AlmostInOrder_100.txt, 0
Merge Sort, .\TestData\IntegerData\AlmostInOrder_1000.txt, 0
Merge Sort, .\TestData\IntegerData\AlmostInOrder_10000.txt, 1
Merge Sort, .\TestData\IntegerData\AlmostInOrder_100000.txt, 19
Merge Sort, .\TestData\IntegerData\InOrder_10.txt, 0
Merge Sort, .\TestData\IntegerData\InOrder_100.txt, 0
Merge Sort, .\TestData\IntegerData\InOrder_1000.txt, 0
Merge Sort, .\TestData\IntegerData\InOrder_10000.txt, 1
Merge Sort, .\TestData\IntegerData\InOrder_100000.txt, 23
Merge Sort, .\TestData\IntegerData\RandomOrder_10.txt, 0
Merge Sort, .\TestData\IntegerData\RandomOrder_100.txt, 0
Merge Sort, .\TestData\IntegerData\RandomOrder_1000.txt, 0
Merge Sort, .\TestData\IntegerData\RandomOrder_10000.txt, 1
Merge Sort, .\TestData\IntegerData\RandomOrder_100000.txt, 24
Merge Sort, .\TestData\IntegerData\ReverseOrder_10.txt, 0
Merge Sort, .\TestData\IntegerData\ReverseOrder_100.txt, 0
Merge Sort, .\TestData\IntegerData\ReverseOrder_1000.txt, 0
Merge Sort, .\TestData\IntegerData\ReverseOrder_10000.txt, 1
Merge Sort, .\TestData\IntegerData\ReverseOrder_100000.txt, 23
